systemSku;Inventory
210000011742;0
210000011743;0
210000011744;0
210000011745;0
210000011746;0
210000011747;1
210000011748;0
210000011749;0
210000011750;0
210000011751;0
210000011752;0
210000011753;0
210000011754;0
210000011755;0
210000011763;0
210000011764;10
210000011766;1
210000011768;0
210000011769;4
210000011771;5
210000011772;8
210000011774;8
210000011775;5
210000011777;4
210000011778;7
210000011780;8
210000011781;0
210000011783;0
210000011786;0
210000011787;4
210000011789;0
210000011792;0
210000011793;0
210000011795;0
210000011797;0
210000011799;2
210000011801;0
210000011803;6
210000011804;16
210000011805;13
210000011806;11
210000011808;12
210000011809;8
210000011811;4
210000011812;0
210000011814;0
210000011815;0
210000011817;6
210000011820;10
210000011821;10
210000011822;20
210000011823;20
210000011824;20
210000011825;10
210000011826;8
210000025494;0
210000025504;0
210000025505;0
210000025506;0
210000025507;0
210000025508;11
210000025509;0
210000025510;1
210000025511;0
210000025512;0
210000025513;0
210000025514;0
210000025515;0
210000025516;0
210000025517;1
210000025518;0
210000025519;0
210000030063;0
210000030065;0
210000039471;1
210000039472;0
210000039473;0
210000039474;0
210000039475;0
210000039476;2
210000039477;0
210000039478;0
210000039479;0
210000039480;0
210000039481;1
210000039482;0
210000039483;1
210000039484;1
210000039485;0
210000039486;0
210000039487;0
210000039488;1
210000039489;1
210000039490;1
210000039491;0
210000039492;1
210000039493;2
210000039494;2
210000039495;0
210000039496;0
210000039497;1
210000039498;0
210000039499;0
210000039500;0
210000039501;0
210000039502;0
210000039503;2
210000039504;1
210000039505;0
210000039506;1
210000039507;0
210000039508;0
210000039509;1
210000039510;2
210000039511;0
210000039512;1
210000039513;1
210000039514;2
210000039515;3
210000039516;1
210000039517;1
210000039518;0
210000039519;0
210000039520;0
210000039521;0
210000039522;2
210000039523;0
210000039524;4
210000039525;2
210000039526;3
210000039527;1
210000039528;1
210000039529;0
210000039530;0
210000039531;0
210000039532;0
210000039533;1
210000039534;0
210000039535;1
210000039536;0
210000039537;0
210000039538;0
210000039545;1
210000039546;4
210000039547;0
210000039548;1
210000039549;0
210000039550;1
210000039551;2
210000039552;0
210000039553;1
210000039554;0
210000039555;0
210000039556;1
